Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
501,Chris Livingston,MIL,20,16,10,6,4.3,1.1,0.4,1.0,43.8,0.1,0.2,33.3,0.1,0.1,100.0,0.1,0.8,0.9,0.3,0.3,0.1,0.0,0.7,2.8,0.0,0.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Alex Fudge,LAL,20,4,1,3,3.6,1.0,0.3,1.5,16.7,0.0,0.5,0.0,0.5,0.5,100.0,0.5,0.0,0.5,0.0,0.3,0.0,0.0,0.3,1.4,0.0,0.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Braxton Key,DEN,27,17,12,5,3.2,1.0,0.4,0.9,37.5,0.1,0.2,25.0,0.2,0.4,66.7,0.2,0.6,0.8,0.5,0.1,0.1,0.1,0.3,3.2,0.0,0.0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Filip Petrusev,SAC,23,3,2,1,3.1,1.0,0.3,0.7,50.0,0.0,0.0,0.0,0.3,0.7,50.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.4,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Frank Ntilikina,CHA,25,5,0,5,8.6,1.0,0.2,1.8,11.1,0.2,1.6,12.5,0.4,0.4,100.0,0.2,1.0,1.2,0.8,0.2,0.0,0.0,0.8,3.4,0.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Hamidou Diallo,WAS,25,2,1,1,2.4,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.5,5.5,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
502,JD Davison,BOS,21,2,2,0,2.8,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,100.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Javon Freeman-Liberty,TOR,24,2,1,1,2.0,1.0,0.5,1.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Jules Bernard,WAS,24,7,1,6,4.2,1.0,0.4,1.7,25.0,0.1,1.1,12.5,0.0,0.0,0.0,0.3,0.4,0.7,0.7,0.3,0.1,0.1,0.6,3.5,0.0,0.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Mason Jones,SAC,25,1,0,1,13.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Taj Gibson,NYK,38,16,7,9,10.3,1.0,0.4,1.4,30.4,0.0,0.4,0.0,0.1,0.1,100.0,0.6,1.1,1.8,0.6,0.3,0.1,0.4,1.8,5.1,0.0,0.0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Xavier Moon,LAC,29,2,2,0,5.8,1.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,0.5,0.0,0.0,0.5,4.0,0.0,0.0,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Thanasis Antetokounmpo,MIL,31,25,17,8,4.9,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.2,0.4,0.5,0.4,0.1,0.2,0.8,2.6,0.0,0.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Justin Minaya,POR,24,19,1,18,8.0,0.9,0.3,1.3,24.0,0.2,0.8,18.8,0.2,0.3,50.0,0.5,0.5,1.1,0.4,0.3,0.3,0.3,0.5,4.2,0.0,0.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Charlie Brown Jr.,NYK,27,7,1,6,5.2,0.9,0.3,1.4,20.0,0.3,1.0,28.6,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.3,0.0,0.3,0.7,1.8,0.0,0.0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
516,DaQuan Jeffries,NYK,26,13,8,5,2.6,0.8,0.4,1.1,35.7,0.1,0.5,14.3,0.0,0.2,0.0,0.0,0.4,0.4,0.2,0.1,0.0,0.0,0.2,1.5,0.0,0.0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Jerome Robinson,GSW,27,12,10,2,3.2,0.8,0.2,1.0,16.7,0.1,0.6,14.3,0.4,0.7,62.5,0.1,0.2,0.3,0.2,0.0,0.0,0.1,0.2,1.6,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Jalen Slawson,SAC,24,5,3,2,3.7,0.8,0.4,0.6,66.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,0.4,0.0,0.2,0.6,2.6,0.0,0.0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
518,James Johnson,IND,37,5,2,3,4.9,0.8,0.4,1.0,40.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.6,0.8,1.0,0.4,0.8,0.0,0.8,5.3,0.0,0.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Wendell Moore Jr.,MIN,22,14,11,3,3.2,0.7,0.4,0.7,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.2,0.4,0.1,0.3,2.5,0.0,0.0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Shaquille Harrison,MEM,30,3,1,2,2.0,0.7,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.0,2.5,0.0,0.0,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Juan Toscano-Anderson,SAC,30,11,7,4,4.8,0.6,0.3,1.1,25.0,0.1,0.4,25.0,0.0,0.0,0.0,0.4,0.9,1.3,0.4,0.2,0.1,0.1,1.0,3.1,0.0,0.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
523,TyTy Washington Jr.,MIL,22,5,3,2,4.1,0.6,0.2,1.4,14.3,0.2,0.6,33.3,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.4,0.0,0.0,1.9,0.0,0.0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
524,E.J. Liddell,NOP,23,8,3,5,2.9,0.5,0.1,0.8,16.7,0.0,0.6,0.0,0.3,0.3,100.0,0.0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,2.7,0.0,0.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Hunter Tyson,DEN,23,10,7,3,3.0,0.5,0.2,1.0,20.0,0.1,0.8,12.5,0.0,0.0,0.0,0.1,0.7,0.8,0.1,0.2,0.0,0.0,0.6,1.4,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Jordan Walsh,BOS,19,4,4,0,8.3,0.5,0.3,1.3,20.0,0.0,0.8,0.0,0.0,0.0,0.0,0.5,2.3,2.8,0.5,0.5,0.5,0.3,1.3,6.3,0.0,0.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Maxwell Lewis,LAL,21,20,9,11,3.5,0.4,0.2,0.6,25.0,0.1,0.2,33.3,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.1,0.0,0.2,0.8,0.0,0.0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Adam Flagler,OKC,24,1,1,0,5.5,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Alondes Williams,MIA,24,2,2,0,4.7,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Danny Green,PHI,36,2,1,1,9.2,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5,3.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Darius Bazley,PHI,23,3,0,3,3.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.3,0.0,0.0,0.0,1.1,0.0,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Dmytro Skapintsev,NYK,25,2,0,2,1.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Jalen Crutcher,NOP,24,1,1,0,2.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Jason Preston,UTA,24,1,0,1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Javonte Smart,PHI,24,1,1,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Johnny Juzang,UTA,22,3,1,2,2.9,0.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.5,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Justin Jackson,MIN,28,2,2,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Kaiser Gates,NOP,27,1,0,1,7.4,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Malcolm Cazalon,DET,22,1,0,1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Marques Bolden,CHA,25,3,2,1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,1.2,0.0,0.0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Micah Potter,UTA,25,2,1,1,3.6,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Mouhamed Gueye,ATL,21,2,2,0,2.2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.5,0.0,0.0,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Pat Spencer,GSW,27,1,0,1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Pete Nance,CLE,24,2,1,1,2.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Ron Harper Jr.,TOR,23,1,1,0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.5,0.0,0.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Ryan Arcidiacono,NYK,29,20,15,5,2.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.1,0.1,0.0,0.3,1.0,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Usman Garuba,GSW,21,3,2,1,2.6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.7,1.9,0.0,0.0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Vit Krejci,ATL,23,1,0,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
